Company Name,Title,Description,Location,Started On,Finished On
Conkord | IEFP,Senior Full Stack Engineer,GOV PORTAL: Evolutionary maintenance of Java 8 ecosystem (Servlet/JSP) and integration of digital services.,,MMM 2025,
YTech | CGI,Full Stack Developer,SMART GRIDS: Advanced Metering Infrastructure (AMI) and management of high volume energy data.,,MMM 2023,MMM YYYY
Inovaprime,Technical Consultant,"AUTOMATION: IT Governance solutions, dynamic dashboards and message queue flow.",,MMM 2022,MMM YYYY
Accurate Software,Full Stack Developer,MISSION CRITICAL: Maintenance of legacy & cloud-native apps (AWS Lambda/Serverless) for banking/telco.,,MMM 2022,MMM YYYY
PlayMatch,Backend Developer,ESPORTS PLATFORM: Gamification engine for educational projects. Containerized environment.,,MMM 2021,MMM YYYY
FNX Participações,Development Analyst,MULTI-PLATFORM: Hybrid Ecosystem (Mobile/PWA) and deep ERP customization.,,MMM 2020,MMM YYYY
NBS Informática,Systems Analyst,MICROSERVICES: Distributed architecture with Netflix OSS for the automotive sector.,,MMM 2020,MMM YYYY
Sankhya Gestão,Systems Analyst,"ERP CORE: Native Java extensions, complex PL/SQL integrations and corporate reports.",,MMM 2019,MMM YYYY
Atuarial Consultoria,Frontend Developer,FINTECH REPORTS: Investment reporting dashboard. State management with Redux.,,MMM 2019,MMM YYYY
Datalab Mobile,Software Development Intern,ERP MOBILITY: Integrations with SAP Business One/HANA. Hybrid development.,,MMM 2018,MMM YYYY
UFMT,IT Intern,ACADEMIC INFRA: CMS maintenance (Joomla) and campus IT infrastructure support.,,MMM 2017,MMM YYYY
